duration_ms,mouseClickCount,scrollCount,scrollDensity,viewportChanges,tabCount,enterPressed,deviceType_encoded,fieldCount,totalTimeSpent,avgTimePerField,totalFocusCount,avgChangesPerField,avgPastePerField,avgDeletePerField,fieldOrderDeviation,stdTimePerField,maxPasteCount,pasteRatio,deleteRatio,label_target
60040,4,8,0.13324448147160534,0,0,0,0,8,20380,2547.5,8,3.5,0.5,2.125,0,690.184033428766,1,0.5,1.0,0
51058,3,11,0.21544122068212215,2,0,0,1,8,22934,2866.75,8,3.25,0.625,3.625,0,873.5441357726909,1,0.625,1.0,0
31456,11,6,0.19074256398061928,0,0,0,0,8,25671,3208.875,8,3.0,0.75,4.0,0,616.9374678893431,1,0.75,1.0,0
81053,9,11,0.1357136520901568,1,0,0,1,8,22575,2821.875,8,2.75,0.625,3.25,0,661.1525515556689,1,0.625,1.0,0
46399,10,8,0.17241747183829997,2,0,0,1,8,24540,3067.5,8,2.125,0.375,2.625,0,471.98698529272417,1,0.375,1.0,0
42704,6,13,0.3044210602236183,2,0,0,1,8,19262,2407.75,8,3.125,0.75,2.375,0,540.840285376112,1,0.75,1.0,0
35109,11,10,0.28482717114495676,0,0,0,1,8,21695,2711.875,8,3.375,0.875,2.75,0,538.359528700716,1,0.875,1.0,0
46814,5,12,0.25633352067041465,1,0,0,0,8,22685,2835.625,8,3.25,0.5,3.375,0,543.6337888952189,1,0.5,1.0,0
51845,9,9,0.17359433434384525,1,0,0,0,8,22945,2868.125,8,3.0,0.375,2.5,0,752.5536407079943,1,0.375,1.0,0
48782,8,13,0.2664916841269968,0,0,0,1,8,18933,2366.625,8,3.0,0.625,3.125,0,605.1379860352985,1,0.625,1.0,0
76681,8,15,0.19561557679013356,1,0,0,1,8,21997,2749.625,8,3.375,0.625,3.0,0,769.7589488182091,1,0.625,1.0,0
68725,11,15,0.2182611541271511,1,0,0,0,8,24369,3046.125,8,3.125,0.5,2.875,0,827.4381181005105,1,0.5,1.0,0
51396,3,15,0.2918514491689141,0,0,0,0,8,20861,2607.625,8,3.125,0.625,3.0,0,722.4096458579241,1,0.625,1.0,0
84146,4,8,0.0950728382724267,2,0,0,0,8,21064,2633.0,8,3.25,0.875,2.875,0,577.1550918080859,1,0.875,1.0,0
63953,9,5,0.07818240298619251,0,0,0,1,8,21368,2671.0,8,3.0,0.625,2.5,0,840.5504998851305,1,0.625,1.0,0
77146,8,7,0.09073703228462496,1,0,0,1,8,18078,2259.75,8,3.25,0.375,2.625,0,509.9609929060401,1,0.375,1.0,0
78959,10,13,0.16464238850005844,0,0,0,1,8,25621,3202.625,8,2.875,0.375,3.25,0,725.403717643788,1,0.375,1.0,0
69698,7,19,0.2726046267318106,0,0,0,1,8,26595,3324.375,8,2.875,0.375,3.125,0,516.51301670778,1,0.375,1.0,0
72938,6,6,0.08226163559987447,2,0,0,0,8,25584,3198.0,8,2.5,0.5,2.875,0,734.8187337218421,1,0.5,1.0,0
44769,11,20,0.44673759817337927,2,0,0,1,8,24755,3094.375,8,2.375,0.625,3.25,0,720.4210946185768,1,0.625,1.0,0
80778,8,17,0.21045331520298652,2,0,0,0,8,20707,2588.375,8,3.0,0.375,2.75,0,259.6909908223343,1,0.375,1.0,0
79297,10,10,0.12610815968975375,0,0,0,0,8,17927,2240.875,8,2.625,0.375,2.875,0,721.2884181399679,1,0.375,1.0,0
